	index	username	gender	year	field	beerslaw	jade_label	flag_jade_label
37	471	m3d89p29	1.0	3rd	Chemistry, Textiles	"In der Praxis eine Seltenheit.
Theorie ist mir mehrheitlich bekannt."	know,can use,no mention	
38	472	5h9umyr6	1.0	3rd	Chemistry, Textiles	sehr sehr wenig	heard about,no mention	
39	473	4b4dkjuw	1.0	3rd	Chemistry, Textiles	Theoretisch, in der Schule. Praktisch kaum auf der Arbeit habe einmal Ethanol im UV/Vis gemessen	know,in class	
40	474	46bty2zg	2.0	1st	Fast track	missing	unknown	
41	475	z8hvrhwb	1.0	1st	Fast track	Oui	yes,no mention	
42	476	my6csh6m	2.0	1st	Chemistry	"gar nicht,
es wurde bis jz nur einmal kurz als exkurs angesprochen"	heard about,in class	
43	477	krd7m9vb	1.0	1st	Chemistry	bissle	heard about,no mention	
44	478	yc3vmnuf	2.0	1st	Chemistry, Textiles	Naja, könnte besser sein	know,no mention	
45	479	2ae6q3hw	1.0	3rd	Chemistry, Textiles	Nicht sehr vertraut. Ich bin Textillaborant. 	don't know,no mention	
46	480	2hr6mkdc	1.0	3rd	Chemistry, Textiles	"In der Berufsschule schon damit gerechnet
1-2 Messungen mit einem UV-Vis Gerät gemacht"	can use,in class,at work	
47	481	8nh4zvcp	1.0	3rd	Chemistry, Textiles	Nicht so sehr damit vertraut.	don't know,no mention	
48	482	s2up6gmm	1.0	3rd	Chemistry, Textiles	Eigentlich vertraut, allerdings war es schon eine Weile her als wir dieses Thema besprochen hatten.	rusty,no mention	
49	483	47ce49e4	2.0	3rd	Chemistry, Textiles	Im Unterricht durchgenommen, aber im Laboraltag noch nie benutzt. 	know,in class	
50	484	fj5tdybn	1.0	3rd	Chemistry, Textiles	Halb-halb wir hatten es vor etwa 1.5 Jahren im Unterricht, seit dort habe ich mich nicht mehr damit befasst. In meinem Lehrbetrieb arbeite ich nie mit Absorption.	rusty,in class	
